area_id,alleg_year,officer_race,count
13,1999,Asian/Pacific,1
13,1999,Black,2
13,1999,Hispanic,3
13,1999,White,19
13,2000,Asian/Pacific,2
13,2000,Black,7
13,2000,Hispanic,10
13,2000,White,29
13,2001,Black,3
13,2001,Hispanic,2
13,2001,White,10
13,2002,Black,3
13,2002,Hispanic,5
13,2002,White,15
13,2003,Asian/Pacific,1
13,2003,Black,3
13,2003,Hispanic,5
13,2003,Native American/Alaskan Native,1
13,2003,White,16
13,2004,Black,3
13,2004,Hispanic,1
13,2004,White,10
13,2005,Black,2
13,2005,Hispanic,3
13,2005,White,9
13,2006,Black,1
13,2006,White,6
13,2007,Asian/Pacific,2
13,2007,Black,2
13,2007,Hispanic,6
13,2007,White,11
13,2008,Black,3
13,2008,Hispanic,3
13,2008,White,11
13,2009,Black,5
13,2009,Hispanic,3
13,2009,White,6
13,2010,Asian/Pacific,1
13,2010,Black,1
13,2010,Hispanic,1
13,2010,White,7
13,2011,Asian/Pacific,1
13,2011,Black,1
13,2011,Hispanic,1
13,2011,White,8
13,2012,Asian/Pacific,1
13,2012,Black,2
13,2012,Hispanic,1
13,2012,White,6
13,2013,Asian/Pacific,1
13,2013,Black,1
13,2013,Hispanic,3
13,2013,Native American/Alaskan Native,1
13,2013,White,2
13,2014,Black,2
13,2014,Hispanic,3
13,2014,White,13
13,2015,Asian/Pacific,1
13,2015,Black,1
13,2015,Hispanic,2
13,2015,White,4
13,2016,Asian/Pacific,1
13,2016,Black,1
13,2016,Hispanic,1
13,2016,White,3
13,2017,Asian/Pacific,2
13,2017,Black,1
13,2017,Hispanic,2
13,2017,White,1
13,2018,Black,1
13,2018,White,1
14,1979,Black,1
14,1979,White,4
14,1981,White,1
14,1982,White,2
14,1983,Black,1
14,1983,White,8
14,1985,Hispanic,3
14,1985,White,1
14,1986,White,1
14,1987,White,4
14,1988,Hispanic,4
14,1988,White,5
14,1989,Black,3
14,1989,Hispanic,3
14,1989,White,29
14,1990,Asian/Pacific,1
14,1990,Black,4
14,1990,Hispanic,1
14,1990,White,15
14,1991,Asian/Pacific,3
14,1991,Black,8
14,1991,Hispanic,10
14,1991,White,53
14,1992,Black,2
14,1992,Hispanic,6
14,1992,White,30
14,1993,Black,4
14,1993,Hispanic,2
14,1993,White,43
14,1994,Asian/Pacific,1
14,1994,Black,4
14,1994,Hispanic,2
14,1994,White,51
14,1995,Asian/Pacific,3
14,1995,Black,4
14,1995,Hispanic,4
14,1995,White,53
14,1996,Asian/Pacific,1
14,1996,Black,2
14,1996,Hispanic,11
14,1996,White,60
14,1997,Asian/Pacific,3
14,1997,Black,2
14,1997,Hispanic,7
14,1997,White,47
14,1998,Asian/Pacific,1
14,1998,Black,3
14,1998,Hispanic,7
14,1998,White,34
14,1999,Black,2
14,1999,Hispanic,10
14,1999,White,36
14,2000,Asian/Pacific,4
14,2000,Black,7
14,2000,Hispanic,24
14,2000,White,75
14,2001,Asian/Pacific,2
14,2001,Black,1
14,2001,Hispanic,11
14,2001,White,30
14,2002,Asian/Pacific,2
14,2002,Black,8
14,2002,Hispanic,11
14,2002,White,47
14,2003,Black,6
14,2003,Hispanic,9
14,2003,White,33
14,2004,Asian/Pacific,1
14,2004,Black,6
14,2004,Hispanic,8
14,2004,White,23
14,2005,Black,1
14,2005,Hispanic,8
14,2005,White,25
14,2006,Asian/Pacific,1
14,2006,Black,3
14,2006,Hispanic,6
14,2006,White,13
14,2007,Black,2
14,2007,Hispanic,4
14,2007,White,28
14,2008,Black,3
14,2008,Hispanic,8
14,2008,White,18
14,2009,Asian/Pacific,1
14,2009,Black,1
14,2009,Hispanic,10
14,2009,White,19
14,2010,Asian/Pacific,1
14,2010,Black,3
14,2010,Hispanic,8
14,2010,White,14
14,2011,Asian/Pacific,3
14,2011,Black,2
14,2011,Hispanic,7
14,2011,White,9
14,2012,Hispanic,2
14,2012,White,9
14,2013,Asian/Pacific,1
14,2013,Black,2
14,2013,Hispanic,4
14,2013,White,4
14,2014,Black,2
14,2014,Hispanic,6
14,2014,White,9
14,2015,Black,1
14,2015,Hispanic,5
14,2015,White,9
14,2016,Black,1
14,2016,Hispanic,5
14,2016,White,8
14,2017,Asian/Pacific,1
